product_id,product_name,product_category
1,Artisan Heavy-Duty EZD  Binder With Locking Rings,Office Supplies
2,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies
3,"Message Book, One Form per Page",Office Supplies
4,Cando S750 Color Inkjet Printer,Technology
5,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies
6,Artisan Reinforcements for Hole-Punch Pages,Office Supplies
7,12 Colored Short Pencils,Office Supplies
8,Multimedia Mailers,Office Supplies
9,Pizazz Dustless Chalk Sticks,Office Supplies
10,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies
11,Artisan Printable Repositionable Plastic Tabs,Office Supplies
12,Assorted Color Push Pins,Office Supplies
13,Security-Tint Envelopes,Office Supplies
14,Artisan Arch Ring Binders,Office Supplies
15,OIC Thumb-Tacks,Office Supplies
16,Apex Elite Stainless Steel Scissors,Office Supplies
17,"Alto Parchment Paper, Assorted Colors",Office Supplies
18,"Steady Colorific Colored Pencils, 12/Box",Office Supplies
19,Aluminum Document Frame,Furniture
20,Smiths Gold Paper Clips,Office Supplies
21,UGen RF Keyboard,Technology
22,Smiths Standard Envelopes,Office Supplies
23,Office Shears by Apex,Office Supplies
24,EcoTones Memo Sheets,Office Supplies
25,1726 Digital Answering Machine,Technology
26,Smiths Premium Bright 1-Part Blank Computer Paper,Office Supplies
27,Artisan 479 Labels,Office Supplies
28,Beekin 105-Key Black Keyboard,Technology
29,Adesso Programmable 142-Key Keyboard,Technology
30,TechSavi Access Keyboard,Technology
31,Smiths SlimLine Pencil Sharpener,Office Supplies
32,Artisan Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies
33,Steady Liquid Accent Highlighters,Office Supplies
34,"Laser Neon Mac Format Diskettes, 10/Pack",Technology
35,UGen Ultra Cordless Optical Suite,Technology
36,"Artisan Flip-Chart Easel Binder, Black",Office Supplies
37,"DrawIt Colored Pencils, 48-Color Set",Office Supplies
38,600 Series Non-Flip,Technology
39,"210 Trimline Phone, White",Technology
40,Steady Major Accent Highlighters,Office Supplies
41,Artisan Legal 4-Ring Binder,Office Supplies
42,Smiths General Use 3-Ring Binders,Office Supplies
43,Alto Keyboard-In-A-Box,Technology
44,Artisan 48 Labels,Office Supplies
45,UGen Ultra Professional Cordless Optical Suite,Technology
46,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies
47,Colored Envelopes,Office Supplies
48,Xit Blank Computer Paper,Office Supplies
49,Alto Perma 2700 Stacking Storage Drawers,Office Supplies
50,TechSavi Cordless Elite Duo,Technology
51,"Wirebound Message Book, 4 per Page",Office Supplies
52,Laser DVD-RAM discs,Technology
53,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies
54,Deluxe Rollaway Locking File with Drawer,Office Supplies
55,Smiths Colored Interoffice Envelopes,Office Supplies
56,Wirebound Voice Message Log Book,Office Supplies
57,Smiths Metal Binder Clips,Office Supplies
58,3Max Organizer Strips,Office Supplies
59,PastelOcean Color Pencil Set,Office Supplies
60,Alto Memo Cubes,Office Supplies
61,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies
62,Economy Binders,Office Supplies
63,HFX 6S Scientific Calculator,Technology
64,Self-Adhesive Removable Labels,Office Supplies
65,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies
66,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies
67,Artisan Non-Stick Binders,Office Supplies
68,DrawIt Colored Pencils,Office Supplies
69,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies
70,Steady Liquid Accent Tank-Style Highlighters,Office Supplies
71,Bagged Rubber Bands,Office Supplies
72,Cando PC940 Copier,Technology
73,TechSavi Internet Navigator Keyboard,Technology
74,Artisan Hanging File Binders,Office Supplies
75,Beekin 6 Outlet Metallic Surge Strip,Office Supplies
76,Fluorescent Highlighters by DrawIt,Office Supplies
77,Artisan 481 Labels,Office Supplies
78,Emerson C82 Color Inkjet Printer,Technology
79,Artisan Durable Binders,Office Supplies
80,Pizazz Drawing Pencil Set,Office Supplies
81,Artisan Poly Binder Pockets,Office Supplies
82,Barrel Sharpener,Office Supplies
83,Binding Machine Supplies,Office Supplies
84,Binder Posts,Office Supplies
85,Binder Clips by OIC,Office Supplies
86,Economy Rollaway Files,Office Supplies
87,Self-Adhesive Ring Binder Labels,Office Supplies
88,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture
89,Apex Straight Scissors,Office Supplies
90,Artisan Binder Labels,Office Supplies
91,TechSavi Cordless Navigator Duo,Technology
92,Apex Preferred Stainless Steel Scissors,Office Supplies
93,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies
94,Desktop 3-Pocket Hot File,Office Supplies
95,600 Series Flip,Technology
96,300 Series Non-Flip,Technology
97,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies
98,Brown Kraft Recycled Envelopes,Office Supplies
99,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies
100,Artisan 487 Labels,Office Supplies
101,Lumi Crayons,Office Supplies
102,Artisan Durable Poly Binders,Office Supplies
103,Pizazz Colored Pencils,Office Supplies
104,Apex Office Executive Series Stainless Steel Trimmers,Office Supplies
105,3Max Polarizing Light Filter Sleeves,Furniture
106,Steady Pocket Accent Highlighters,Office Supplies
107,Artisan Binding System Hidden Tab Executive Style Index Sets,Office Supplies
108,"Artisan Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies
109,Artisan 478 Labels,Office Supplies
110,Apex Forged Steel Scissors with Black Enamel Handles,Office Supplies
111,Smiths Bulldog Clip,Office Supplies
112,Emerson LQ-870 Dot Matrix Printer,Technology
113,HFX LaserJet 3310 Copier,Technology
114,Unpadded Memo Slips,Office Supplies
115,Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies
116,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies
117,Blackstonian Pencils,Office Supplies
118,Creator Colored Pencils,Office Supplies
119,Apex Box Cutter Scissors,Office Supplies
120,Airmail Envelopes,Office Supplies
121,Smiths Colored Bar Computer Paper,Office Supplies
122,Alto Perma 3000 Stacking Storage Drawers,Office Supplies
123,OIC Bulk Pack Metal Binder Clips,Office Supplies
124,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies
125,Emerson Stylus 1520 Color Inkjet Printer,Technology
126,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies
127,Alto 3-Hole Punch,Office Supplies
128,"Creator Anti Dust Chalk, 12/Pack",Office Supplies
129,"Adams ""While You Were Out"" Message Pads",Office Supplies
130,Artisan 474 Labels,Office Supplies
131,Smiths Paper Clips,Office Supplies
132,TechSavi Cordless Access Keyboard,Technology
133,Artisan File Folder Labels,Office Supplies
134,Artisan Round Ring Poly Binders,Office Supplies
135,Colored Push Pins,Office Supplies
136,"Steady Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies
137,Smiths File Caddy,Office Supplies
138,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies
139,TechSavi Cordless Keyboard,Technology
140,Smiths Pushpins,Office Supplies
141,Apex Design Stainless Steel Bent Scissors,Office Supplies
142,Col-Erase Pencils with Erasers,Office Supplies
143,Artisan Hole Reinforcements,Office Supplies
144,"Alto Six-Outlet Power Strip, 4 Cord Length",Office Supplies
145,Smiths Bulk Pack Metal Binder Clips,Office Supplies
146,Alliance Rubber Bands,Office Supplies
147,HFX 610 Color Digital Copier / Printer,Technology
